label,message,message_2
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","ШЕСТЬ шансов выиграть ДЕНЬГИ! От 100 до 20000 фунтов txt>CSH11 и отправить на номер 87575. Стоимость 150р/день, 6дней, 16+ TsandCs применяются Ответить HL 4 info"
1,"URGENT! You have won a 1 week FREE membership in our пїЅ100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",СРОЧНЫЙ! Вы выиграли 1 неделю БЕСПЛАТНОГО участия в нашем призовом джекпоте в размере 100 000! Отправьте сообщение: ПРЕТЕНЗИЯ на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,"Я искал подходящие слова, чтобы поблагодарить вас за эту передышку. Я обещаю, что не буду принимать вашу помощь как должное и выполню свое обещание. Ты был замечательным и благословенным во все времена."
0,I HAVE A DATE ON SUNDAY WITH WILL!!,У МЕНЯ СВИДАНИЕ В ВОСКРЕСЕНЬЕ С УИЛЛОМ!!
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Чтобы использовать свой кредит, щелкните ссылку WAP в следующем текстовом сообщении или щелкните здесь>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
0,Oh k...i'm watching here:),"О, к... я смотрю здесь :)"
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Эх, ты помнишь, как пишется его имя... Да, помню. Он шалит, пока я не промокну."
0,Fine if thatпїЅпїЅs the way u feel. ThatпїЅпїЅs the way its gota b,"Хорошо, если ты так считаешь. Вот так и должно быть"
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Мј1.20 POBOXox36504W45WQ 16+","Англия – Македония – не пропустите голы/новости команд. Отправьте национальную сборную на номер 87077, например, АНГЛИЯ на номер 87077 Попробуйте: УЭЛЬС, ШОТЛАНДИЯ 4txt/Мј1.20 POBOXox36504W45WQ 16+"
0,Is that seriously how you spell his name?,Ты серьезно так пишешь его имя?
0,IпїЅпїЅпїЅm going to try for 2 months ha ha only joking,ИпїЅпїЅпїЅ попробую 2 месяца ха ха только шучу
0,So пїЅ_ pay first lar... Then when is da stock comin...,"Так что пїЅ_ заплатите сначала лар... Потом, когда придут акции..."
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"После того, как я закончу свой обед, я иду вниз. Ard 3 smth лор. Ты уже закончил свой обед?"
0,Ffffffffff. Alright no way I can meet up with you sooner?,"фффффффффф. Ладно, я не могу встретиться с тобой раньше?"
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Просто заставил себя съесть кусочек. Я действительно не голоден. Это отстой. Марк начинает волноваться. Он знает, что я болен, когда отказываюсь от пиццы. Ржу не могу"
0,Lol your always so convincing.,"Лол, ты всегда такой убедительный."
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,"Вы успели на автобус? Ты жаришь яичницу? Ты сделал чай? Ты ешь то, что осталось от твоей мамы на ужин? Ты чувствуешь мою Любовь?"
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Я вернулся, и мы сейчас собираем машину, я дам вам знать, если есть места"
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ааа. Работа. Я это смутно помню! На что это похоже? Ржу не могу
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Подожди, это еще не все так ясно, ты не был уверен, что я саркастичен или именно поэтому Х не хочет жить с нами"
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Да, он вошел в 2 и извинился. н выпал, и она вела себя как избалованный ребенок, и он увлекся этим. До 2! Но мы туда не пойдем! Не так уж плохо ура. Ты?"
0,K tell me anything about you.,K расскажите мне что-нибудь о вас.
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"Из-за боязни упасть в обморок из-за всей этой домашней работы, которую вы только что сделали? Быстро выпейте чашку чая"
1,Thanks for your subscription to Ringtone UK your mobile will be charged пїЅ5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Спасибо за вашу подписку на Ringtone UK с вашего мобильного телефона будет взиматься плата 5 евро в месяц Пожалуйста, подтвердите, ответив ДА или НЕТ. Если вы ответите НЕТ, с вас не будет взиматься плата"
0,Yup... Ok i go home look at the timings then i msg пїЅ_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Ага... Хорошо, я иду домой, посмотрю расписание, а потом еще раз сообщу пїЅ_... Сюхуэй тоже будет учиться 2 мая, но ее урок в 8 утра."
0,"Oops, I'll let you know when my roommate's done","Ой, я дам вам знать, когда мой сосед по комнате закончит"
0,I see the letter B on my car,Я вижу букву B на своей машине
0,Anything lor... U decide...,"Все, что угодно... Решайте..."
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"Привет! Как дела и как прошла суббота? Я просто писал смс, чтобы узнать, не решил ли ты что-нибудь сделать для того. Не то чтобы я пытаюсь пригласить себя или что-то в этом роде!"
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"Пожалуйста, продолжайте с ваттами. Я просто хотел убедиться. Хороших выходных. Абиола"
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","Я забыл тебе сказать? Я хочу тебя, ты мне нужен, я жажду тебя... Но больше всего... я люблю тебя, мой милый арабский скакун... Ммммммм... Вкуснятина"
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Rodger Burns - MSG = Мы пытались дозвониться до вас в ответ на наше смс о бесплатном мобильном телефоне nokia + бесплатной видеокамере. Пожалуйста, позвоните сейчас 08000930705 для доставки завтра"
0,WHO ARE YOU SEEING?,КОГО ТЫ ВИДИШЬ?
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"Большой! Надеюсь, вам нравится ваш хорошо обеспеченный мужчина. Я <#> дюймов..."
0,No calls..messages..missed calls,Нет звонков..сообщений..пропущенных звонков
0,Didn't you get hep b immunisation in nigeria.,Разве вы не получили прививку от гепатита В в Нигерии?
0,"Fair enough, anything going on?","Справедливо, что-нибудь происходит?"
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Да, надеюсь, если Тайлер не может этого сделать, я мог бы немного поспрашивать"
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"Ты не знаешь, какой я упрямый. Я даже не хотел идти в больницу. Я продолжал говорить Марку, что я не слабак. Больницы для слабаков."
0,What you thinked about me. First time you saw me in class.,Что ты думаешь обо мне. Ты впервые увидел меня в классе.
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Грамм обычно работает как <#> , хотя половина восьмого умнее и дает вам почти целый второй грамм для <#>"
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"К твоему сведению, икс поедет завтра рано утром, но сегодня вечером он ночует у нас дома."
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","Ух ты. Никогда не думал, что ты так смущен своим размещением. Я думал, тебе это понравилось, так как я делал все, что мог, и ты всегда казался таким счастливым из-за \пещеры\"". Мне жаль, что я не дал и не могу больше дать. Мне жаль, что твоя комната была такой неловкой»."
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: «Нью-Джерси Девилз» и «Детройт Ред Уингз» играют в хоккей. Правильно или неправильно? Конец? Ответить КОНЕЦ SPTV
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,"Вы знаете, что Маллика Шерават делала вчера? Узнайте сейчас @ <URL>"
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Поздравляю! Ваш специальный пропуск в кино на 1 год для двоих. Звоните 09061209465 прямо сейчас! C Superman V, Matrix 3, Star Wars 3 и т. д. все 4 БЕСПЛАТНО! bx420-ip4-5we. 150 вечера. Не пропустите!"
0,"Sorry, I'll call later in meeting.","Извините, я позвоню позже на встрече."
0,Tell where you reached,"Скажи, куда ты попал"
0,Yes..gauti and sehwag out of odi series.,Да..гаути и сехваг из серии оди.
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,По дороге домой тебе придется купить себе бургер за 1 доллар. Я даже не могу двигаться. Боль убивает меня.
0,Ha ha ha good joke. Girls are situation seekers.,Ха-ха-ха хорошая шутка. Девушки ищут ситуации.
0,Its a part of checking IQ,Это часть проверки IQ
0,"Sorry my roommates took forever, it ok if I come by now?","Извините, мои соседи по комнате заняли целую вечность, ничего, если я приду сейчас?"
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"Хорошо, я уже перепроверил парикмахера, он сказал, что он коротко подстригся. Он сказал, что будет резать, пока я не буду хорошо выглядеть."
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a пїЅ1500 Bonus Prize, call 09066364589","Как ценный клиент, я рад сообщить вам, что после недавнего обзора вашего Mob No. вы награждены бонусным призом в размере 1500 фунтов стерлингов, позвоните по телефону 09066364589."
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Сегодня \день, посвященный песне..\"" Какую песню ты посвятишь мне? Отправьте ее всем своим ценным друзьям, но сначала ответьте мне..."""
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or пїЅ1000. To claim txt DIS to 87121 18+6*пїЅ1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Срочный УР награжден бесплатной поездкой в ​​EuroDisinc Trav, Aco&Entry41 Или 1000 грн. Требовать txt DIS на 87121 18+6*пїЅ1.50(подробнееFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","Слышали ли вы о новой \Разводной Барби\""? Она поставляется со всеми вещами Кена!"""
0,I plane to give on this month end.,Я планирую дать в конце этого месяца.
0,Wah lucky man... Then can save money... Hee...,Вах счастливчик... Тогда можно сэкономить... Хи...
0,Finished class where are you.,"Закончили урок, где вы?"
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ПРИВЕТ ДЕТКА Я ТЕПЕРЬ ДОМА ХОЧЕШЬ ЧТО-НИБУДЬ СДЕЛАТЬ? ХХ
0,K..k:)where are you?how did you performed?,К..к:)где ты?как выступил?
0,U can call me now...,Ты можешь позвонить мне сейчас...
0,I am waiting machan. Call me once you free.,"жду мачан. Позвони мне, как только освободишься."
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,Это круто. Я джентльмен и буду относиться к вам с достоинством и уважением.
0,I like you peoples very much:) but am very shy pa.,"Народы, вы мне очень нравитесь :) но я очень застенчивый папа."
0,Does not operate after  &lt;#&gt;  or what,Не работает после <#> или что
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,Здесь все не так. Все еще ищу работу. Сколько там зарабатывают Та.
0,"Sorry, I'll call later","Извините, я позвоню позже"
0,K. Did you call me just now ah? ,"К. Вы звонили мне только что, а?"
0,Ok i am on the way to home hi hi,хорошо я уже еду домой привет привет
0,You will be in the place of that man,Вы будете на месте этого человека
0,Yup next stop.,"Да, следующая остановка."
0,"I call you later, don't have network. If urgnt, sms me.","Я позвоню тебе позже, у меня нет сети. Если срочно, смс мне."
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,"На самом деле, когда ты начинаешь? Мне нужно еще 2 билета и еще одна куртка, и все готово. Я уже использовал все свои мультиварки."
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Да, я начал отправлять запросы, чтобы сделать это, но боль вернулась, поэтому я снова в постели. Двойные монеты на заводе тоже. Я должен обналичить все свои нитро."
0,I'm really not up to it still tonight babe,"Я действительно не готов к этому еще сегодня вечером, детка"
0,"Ela kano.,il download, come wen ur free..","Ela kano., скачай, давай бесплатно.."
0,Yeah do! DonпїЅпїЅпїЅt stand to close tho- youпїЅпїЅпїЅll catch something!,"Да делай! Не стойте близко, а то поймаете что-нибудь!"
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,"Извините, что причиняю боль. Ничего, если мы встретимся еще одну ночь? Я провел вечер в больнице, а это значит, что я не делал ничего из того, что ты делаешь42moro, включая все мои табели учета рабочего времени и все такое. Извини."
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,"Улыбайтесь от удовольствия Улыбайтесь от боли Улыбайтесь, когда неприятности льются, как дождь Улыбайтесь, когда вам больно Улыбайтесь, потому что КТО-ТО все еще любит видеть, как вы улыбаетесь!!"
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed пїЅ1000 cash or пїЅ5000 prize!,"Пожалуйста, позвоните нашему представителю по обслуживанию клиентов по телефону 0800 169 6031 с 10:00 до 21:00, так как вы выиграли гарантированный приз в размере 1000 фунтов стерлингов или 5000 фунтов стерлингов!"
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,"Havant планирует купить позже. Я уже проверяю, что у Лидо только 530 шоу днем. Ты уже заканчиваешь работу?"
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Ваш бесплатный рингтон ждет, чтобы его забрали. Просто отправьте пароль \MIX\"" на номер 85069 для подтверждения. Получите Ашера и Бритни. FML"
0,Watching telugu movie..wat abt u?,Смотрю фильм на телугу... что с тобой?
0,i see. When we finish we have loads of loans to pay,"я понимаю. Когда мы закончим, у нас будет куча кредитов для оплаты"
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
0""","Привет. Неделя была в порядке - теперь на каникулах! Да на пробежке. Забыл, что у меня встреча с парикмахером в четыре, так что нужно вернуться домой и принять душ заранее. Это вызывает у тебя проблемы?\""
0"""
0,Please don't text me anymore. I have nothing else to say.,"Пожалуйста, не пиши мне больше. Мне больше нечего сказать."
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,"Хорошо, назовите вашу цену, если это законно! Можно я их заберу? Y u ave x am xx"
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Я все еще ищу машину для покупки. И еще не сдал экзамен по вождению.
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"По вашему запросу «Melle Melle (Oru Minnaminunginte Nurungu Vettam)» была установлена ​​​​в качестве мелодии для всех вызывающих абонентов. Нажмите *9, чтобы скопировать Callertune ваших друзей"
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","ух ты. Ты прав! Я не хотел этого делать. Я думаю, как только я разочаровался в бостонских мужчинах и изменил место поиска на Нью-Йорк, что-то изменилось. Потому что на моей странице входа все еще написано Бостон."
0,Umma my life and vava umma love you lot dear,"Умма, моя жизнь и вава умма, люблю тебя, дорогая"
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,"Большое спасибо за ваши пожелания в мой день рождения. Спасибо за то, что сделали мой день рождения по-настоящему незабываемым."
0,"Aight, I'll hit you up when I get some cash","Хорошо, я свяжусь с тобой, когда получу немного денег."
0,How would my ip address test that considering my computer isn't a minecraft server,"Как проверить мой IP-адрес, учитывая, что мой компьютер не является сервером Minecraft?"
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"Я знаю! Суровые старики. Моя мама была такой, как тебе лучше не врать. Опять же, я всегда тот, кто шутит..."
0,Dont worry. I guess he's busy.,"Не волнуйся. Я думаю, он занят."
0,What is the plural of the noun research?,Какое множественное число у существительного исследование?
0,Going for dinner.msg you after.,Иду на ужин.Сообщаю вам после.
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,"Я в порядке с этим, потому что мне нравится пробовать новые вещи. Но я напугал тебя до чертиков. Потому что ты сказал не слишком громко."
1,GENT! We are trying to contact you. Last weekends draw shows that you won a пїЅ1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,"ГЕНТ! Мы пытаемся связаться с вами. Розыгрыш прошлых выходных показывает, что вы выиграли ГАРАНТИРОВАННЫЙ приз в размере 1000 фунтов стерлингов. Звоните 09064012160. Код заявки K52. Действует только 12 часов. 150 частей на миллион"
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Ва, ваше вступительное предложение очень формальное... В любом случае, я тоже в порядке, просто я слишком много ем и набираю вес... Ха-ха... Что-то особенное случилось?"
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Когда я вошел в свою каюту, мой ассистент сказал: «С днем ​​рождения, босс!!». Я чувствовал себя особенным. Она попросила меня 4 обеда. После обеда она пригласила меня к себе на квартиру. Мы пошли туда."
1,You are a winner U have been specially selected 2 receive пїЅ1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Вы победитель Вы были специально отобраны 2 получите 1000 ₽ или 4* отдых (перелеты вкл.) поговорите с оператором в прямом эфире 2 получите 0871277810910р/мин (18+)
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"Хорошо! Да, мы должны говорить в пятницу - яично-картофельное соотношение для лепешки нужно!"
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Хм... мой дядя только что сообщил мне, что он платит непосредственно школе. Так что, пожалуйста, купите еды."
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"ЧАСТНЫЙ! В выписке по счету за 2004 год для номера 07742676969 указано 786 неиспользованных бонусных баллов. Чтобы подать заявку, позвоните по номеру 08719180248. Идентификационный код: 45239. Срок действия истекает."
1,"URGENT! Your Mobile No. was awarded пїЅ2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","СРОЧНЫЙ! 09.05.03 Ваш номер мобильного телефона был награжден ½ 2000 Бонусным призом для вызывающих абонентов. Это наша последняя попытка связаться с U! Звонок со стационарного телефона 09064019788 BOX42WR29C, 150 стр./мин."
0,here is my new address -apples&pairs&all that malarky,"вот мой новый адрес -яблоки,пары и вся эта чушь"
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Сегодняшние номера Voda, заканчивающиеся на 7548, выбраны для получения вознаграждения в размере 350 долларов. Если у вас есть совпадение, позвоните по номеру 08712300220, указав код претензии 4041 стандартные тарифы приложения."
0,I am going to sao mu today. Will be done only at 12 ,Я еду в Сан-Му сегодня. Будет сделано только в 12
0,пїЅпїЅ predict wat time пїЅ_'ll finish buying?,"«предскажите, во сколько вы докупите?»"
0,"Good stuff, will do.","Хорошая штука, сойдет."
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Просто чтобы вы знали, Yetunde еще не отправил деньги. Я просто отправил ей смс, чтобы не беспокоила отправка. Так что все кончено, вам не нужно вмешиваться ни во что. Я вообще не должен был тебе ничего навязывать, так что за это прошу прощения."
0,Are you there in room.,"Ты там, в комнате?"
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"ЭЙ ДЕВУШКА. КАК ТЫ? НАДЕЮСЬ, ЧТО У МЕНЯ ДЕЛЬ Р БАК! ОПЯТЬ ДАВНО НЕТ C! ПОЗВОНИТЕ МНЕ ВРЕМЯ СУММЫ ОТ LUCYxx"
0,K..k:)how much does it cost?,К..к:)сколько это стоит?
0,I'm home.,Я дома.
0,"Dear, will call Tmorrow.pls accomodate.","Уважаемый, позвоню завтра. пожалуйста, примите."
0,First answer my question.,Сначала ответьте на мой вопрос.
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. пїЅ1.50 SP:Tyrone,"Солнечная викторина Wkly Q! Выиграйте лучший DVD-плеер Sony, если знаете, в какой стране находится Алгарве? Txt ответ на 82277. ≥1.50 SP:Tyrone"
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,"Хочешь 2 потрахаться сегодня вечером? Хотите, чтобы настоящие локации для доггинга отправлялись напрямую 2 ур-моба? Присоединяйтесь к крупнейшей в Великобритании сети доггинга, отправляя текстовые сообщения GRAVEL на номер 69888! нт. ec2a. 31p.msg@150p"
0,I only haf msn. It's yijue@hotmail.com,У меня только MSN. Это yijue@hotmail.com
0,He is there. You call and meet him,Он здесь. Вы звоните и встречаете его
0,No no. I will check all rooms befor activities,Нет нет. Я проверю все комнаты перед мероприятиями
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"Вы больше не будете получать сообщения из чата svc. Для БЕСПЛАТНЫХ хардкорных услуг отправьте текстовое сообщение: 69988 Если вы ничего не получите, вы должны подтвердить возраст в своей сети и повторить попытку."
0,Got c... I lazy to type... I forgot пїЅ_ in lect... I saw a pouch but like not v nice...,Получил c... лень печатать... забыл ц в lect... видел мешочек но вроде не очень...
0,"K, text me when you're on the way","К, напиши мне, когда будешь в пути."
0,"Sir, Waiting for your mail.","Сэр, жду вашего письма."
0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","Милая мысль: \Никогда не устаю делать маленькие вещи 4 милых человека..\"" Потому что..иногда эти мелочи занимают большую часть в их Сердцах.. Гуд ни8"""
0,I know you are. Can you pls open the back?,"Я знаю, вы. Не могли бы вы открыть заднюю часть?"
0,Yes see ya not on the dot,"Да, увидимся, не в точку"
0,Whats the staff name who is taking class for us?,"Как зовут сотрудника, который занимается у нас?"
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Почему ты не ответил на мой текст? Я Рэнди, сексуальный, женский и живу по-местному. Люблю слышать от тебя. Netcollex Ltd 08700621170150p за ответ на сообщение Стоп до конца"
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"Уммма позвонит после регистрации. Наша жизнь начнется с Катара, поэтому, пожалуйста, очень усердно молитесь."
0,K..i deleted my contact that why?,"K..я удалил свой контакт, почему?"
0,Sindu got job in birla soft ..,Синдху устроился на работу в birlasoft..
0,The wine is flowing and i'm i have nevering..,"Вино течет, и я никогда не .."
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,"Да, я думаю, что кино лучше, потому что нет необходимости спускаться на 2 площади."
0,Ok... Ur typical reply...,Хорошо... Типичный ответ...
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"По вашему запросу «Melle Melle (Oru Minnaminunginte Nurungu Vettam)» была установлена ​​​​в качестве мелодии для всех вызывающих абонентов. Нажмите *9, чтобы скопировать Callertune ваших друзей"
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Ты везде грязь, на полу, окнах, даже на моей рубашке. А иногда, когда я открываю рот, вылетает только ты. Я мечтаю о своем мире без тебя, тогда половина моих дел тоже не работает. Время радости для меня, я посмотрю много сериалов. Но я думаю, как и все вещи, вы просто должны существовать, как дождь, град и туман, и когда мое время здесь закончится, вы и я станем одним целым."
0,Aaooooright are you at work?,Аааааа ты на работе?
0,I'm leaving my house now...,Я сейчас выйду из дома...
